image_height,image_width,image_entropy,question_length,question_type,gpu_memory_usage,num_model_params,execution_time
320,320,6.979339878020456,21,0,1470.44970703125,384672572,1.9888911712914705
320,320,5.85780864466507,27,1,1478.57470703125,384672572,0.20492002088576555
320,320,7.247302918456192,30,2,1478.57470703125,384672572,0.2191892508417368
320,320,5.970023329949088,31,3,1478.57470703125,384672572,0.19427277985960245
320,320,7.415525014743988,23,0,1478.57470703125,384672572,0.1748828198760748
320,320,7.370055525919071,22,9,1478.57470703125,384672572,0.21779901813715696
320,320,7.373803846713884,23,0,1478.57470703125,384672572,0.1686771446838975
320,320,6.359172363873757,19,9,1478.57470703125,384672572,0.1701250309124589
320,320,6.412068811302616,20,0,1478.57470703125,384672572,0.18964611273258924
320,320,7.7909078081213154,23,9,1478.57470703125,384672572,0.12827917002141476
320,480,7.798103667450742,21,0,1478.57470703125,384672572,0.16250732354819775
320,480,7.830180442562635,27,1,1478.57470703125,384672572,0.22017971705645323
320,480,6.180612666133609,30,2,1478.57470703125,384672572,0.20458815712481737
320,480,7.346110985784032,31,3,1478.57470703125,384672572,0.22277585417032242
320,480,7.3913746306287305,23,0,1478.57470703125,384672572,0.1992710791528225
320,480,6.403289623204536,22,9,1478.57470703125,384672572,0.1548283016309142
320,480,7.606927289215191,23,0,1478.57470703125,384672572,0.1660360638052225
320,480,5.38153030596429,19,9,1478.57470703125,384672572,0.1567531730979681
320,480,7.820716373901071,20,0,1478.57470703125,384672572,0.17778888158500195
320,480,7.762188744459432,23,9,1478.57470703125,384672572,0.13596717454493046
320,512,6.577948985505243,21,0,1478.57470703125,384672572,0.14014344476163387
320,512,7.801637866900049,27,1,1478.57470703125,384672572,0.1960554951801896
320,512,7.424514265361065,30,2,1478.57470703125,384672572,0.18015682324767113
320,512,7.7579602544505875,31,3,1478.57470703125,384672572,0.2530100801959634
320,512,7.497823240952479,23,0,1478.57470703125,384672572,0.19507317896932364
320,512,7.574870597553504,22,9,1478.57470703125,384672572,0.17725423630326986
320,512,7.198022370258128,23,0,1478.57470703125,384672572,0.18313560355454683
320,512,7.0371909622723745,19,9,1478.57470703125,384672572,0.1956720082089305
320,512,6.926346590295213,20,0,1478.57470703125,384672572,0.1930872332304716
320,512,7.186392377566579,23,9,1478.57470703125,384672572,0.18973493482917547
320,576,7.567508270844236,21,0,1478.57470703125,384672572,0.1892545446753502
320,576,7.836171768804437,27,1,1478.57470703125,384672572,0.20194015372544527
320,576,7.793291793917352,30,2,1478.57470703125,384672572,0.1287805140018463
320,576,7.864922619451507,31,3,1478.57470703125,384672572,0.17940761987119913
320,576,7.564505247420129,23,0,1478.57470703125,384672572,0.09566085040569305
320,576,7.760117758549381,22,9,1478.57470703125,384672572,0.18756753858178854
320,576,7.325534645587385,23,0,1478.57470703125,384672572,0.10310839302837849
320,576,7.259417261412551,19,9,1478.57470703125,384672572,0.1638873340561986
320,576,6.97184184687109,20,0,1478.57470703125,384672572,0.08743449673056602
320,576,7.442056045709898,23,9,1478.57470703125,384672572,0.1661271983757615
320,640,7.758483664274496,21,0,1478.57470703125,384672572,0.1664511924609542
320,640,7.809276936430821,27,1,1478.57470703125,384672572,0.16528299171477556
320,640,7.7855498329240564,30,2,1478.57470703125,384672572,0.17022246029227972
320,640,7.746453341720391,31,3,1478.57470703125,384672572,0.1769373146817088
320,640,7.829590839594957,23,0,1478.57470703125,384672572,0.2121939742937684
320,640,6.792861093777788,22,9,1478.57470703125,384672572,0.19503136817365885
320,640,7.645948357110351,23,0,1478.57470703125,384672572,0.21078696195036173
320,640,7.792822272151905,19,9,1478.57470703125,384672572,0.1788140181452036
320,640,7.370604384462016,20,0,1478.57470703125,384672572,0.2012861054390669
320,640,5.681135406998926,23,9,1478.57470703125,384672572,0.19558717217296362
320,768,7.502339462502187,21,0,1478.57470703125,384672572,0.18388848192989826
320,768,7.672008845515215,27,1,1478.57470703125,384672572,0.1619070190936327
