height,width,num_inference_steps,execution_time
320,320,15,1.527256488800049
320,320,25,1.8698718547821045
320,320,35,2.7606351375579834
320,320,45,3.264046430587769
320,320,55,4.277463912963867
320,320,65,5.163275718688965
320,320,75,5.918446779251099
320,320,85,6.7112205028533936
320,320,95,6.747786521911621
320,320,105,7.539925098419189
320,480,15,1.5383930206298828
320,480,25,2.441274404525757
320,480,35,3.2952523231506348
320,480,45,4.20843243598938
320,480,55,5.030328989028931
320,480,65,5.974165678024292
320,480,75,6.882382392883301
320,480,85,7.770634412765503
320,480,95,8.570977926254272
320,480,105,9.576567649841309
320,512,15,1.7105672359466553
320,512,25,2.5881423950195312
320,512,35,3.3819053173065186
320,512,45,4.383589744567871
320,512,55,5.307915210723877
320,512,65,6.227266073226929
320,512,75,6.979932069778442
320,512,85,7.908392667770386
320,512,95,8.984858751296997
320,512,105,9.72781229019165
320,576,15,1.9473800659179688
320,576,25,3.056377410888672
320,576,35,4.231569528579712
320,576,45,5.039525032043457
320,576,55,6.111498594284058
320,576,65,7.181363105773926
320,576,75,8.346936702728271
320,576,85,9.45563554763794
320,576,95,10.417701482772827
320,576,105,11.585136890411375
320,640,15,2.1036605834960938
320,640,25,3.280459403991699
320,640,35,4.7836222648620605
320,640,45,5.697421312332153
320,640,55,6.874723434448242
320,640,65,8.138074159622192
320,640,75,9.326351642608644
320,640,85,10.536911487579346
320,640,95,11.731280088424684
320,640,105,12.999432802200316
320,768,15,2.339374303817749
320,768,25,3.5827391147613525
320,768,35,4.909257650375366
320,768,45,6.218358993530273
320,768,55,7.60758376121521
320,768,65,8.91434907913208
320,768,75,10.220003843307495
320,768,85,11.515524625778198
320,768,95,12.905009508132936
320,768,105,14.294832229614258
320,800,15,2.5423572063446045
320,800,25,3.974395275115967
320,800,35,5.218235969543457
320,800,45,6.594786882400513
320,800,55,7.990378141403198
320,800,65,9.467470407485962
320,800,75,10.822450876235962
320,800,85,12.255810976028442
320,800,95,13.730616092681885
320,800,105,14.967871189117432
320,1024,15,3.3841261863708496
320,1024,25,5.012174606323242
320,1024,35,6.516628503799439
320,1024,45,8.29764723777771
320,1024,55,10.20505404472351
320,1024,65,12.09475302696228
320,1024,75,13.720206022262571
320,1024,85,30.81722855567932
320,1024,95,40.64051699638367
320,1024,105,45.40650343894959
320,1152,15,10.654603481292725
320,1152,25,9.666868925094604
320,1152,35,20.529762744903564
320,1152,45,15.683767557144163
320,1152,55,20.046890258789062
320,1152,65,13.915931940078735
320,1152,75,15.93263339996338
320,1152,85,18.211602449417114
320,1152,95,20.466564416885376
320,1152,105,22.41050362586975
320,320,15,3.619176149368286
320,320,25,1.9249062538146973
320,320,35,2.5815577507019043
320,320,45,3.276867628097534
320,320,55,4.017338991165161
320,320,65,4.669475078582764
320,320,75,5.411739349365234
320,320,85,6.566452980041504
320,320,95,6.824036598205566
320,320,105,7.547823190689087
320,480,15,1.5346074104309082
320,480,25,2.4031083583831787
320,480,35,3.296992301940918
320,480,45,4.152783632278442
320,480,55,5.153604507446289
320,480,65,5.92554497718811
320,480,75,6.82480263710022
320,480,85,7.91859245300293
320,480,95,8.583781480789185
320,480,105,9.60927939414978
320,512,15,1.7639281749725342
320,512,25,2.421420097351074
320,512,35,3.3371829986572266
320,512,45,4.250828504562378
320,512,55,5.154682874679565
320,512,65,6.041095972061157
320,512,75,6.936841011047363
320,512,85,7.851412534713745
320,512,95,8.745718717575073
320,512,105,9.72473430633545
320,576,15,1.8192980289459229
320,576,25,2.9030210971832275
320,576,35,3.9799952507019043
320,576,45,5.0435497760772705
320,576,55,6.206402778625488
320,576,65,7.208036184310913
320,576,75,8.254308938980103
320,576,85,9.33912467956543
320,576,95,10.41290020942688
320,576,105,11.673569679260254
320,640,15,2.165717840194702
320,640,25,3.260530948638916
320,640,35,4.47115159034729
320,640,45,5.697224140167236
320,640,55,6.964622974395752
320,640,65,8.079817771911621
320,640,75,9.371543884277344
320,640,85,10.538500785827637
320,640,95,11.779845476150513
320,640,105,13.032644510269165
320,768,15,2.3060665130615234
320,768,25,3.62373685836792
320,768,35,4.920755863189697
320,768,45,6.263096332550049
320,768,55,7.569969654083252
320,768,65,8.910119533538818
320,768,75,10.257528305053711
320,768,85,11.552576303482056
320,768,95,12.905141830444336
320,768,105,14.247810363769531
320,800,15,2.431967258453369
320,800,25,3.8131346702575684
320,800,35,5.234198570251465
320,800,45,6.618916749954224
320,800,55,8.140084028244019
320,800,65,9.456461191177368
320,800,75,10.862996101379395
320,800,85,12.381600856781006
320,800,95,13.72254490852356
320,800,105,15.136197328567505
320,1024,15,3.0754964351654053
320,1024,25,4.803819179534912
320,1024,35,6.550443649291992
320,1024,45,8.37578010559082
320,1024,55,10.161012887954712
320,1024,65,11.961199522018433
320,1024,75,13.74794316291809
320,1024,85,15.507938861846924
320,1024,95,17.337054014205933
320,1024,105,19.070351362228394
320,1152,15,3.61946964263916
320,1152,25,5.65714168548584
320,1152,35,7.788614511489868
320,1152,45,9.883037567138672
320,1152,55,11.956108331680298
320,1152,65,14.06899881362915
320,1152,75,16.231797218322754
320,1152,85,18.298659086227417
