image_height,image_width,image_entropy,load_time,process_time,execution_time
442,486,1.0866850157981847,5.196002847204606,20.034086308442056,25.230089155646663
1466,2316,1.561534180136331,18.74104703341921,0.7760746069252491,19.51712164034446
1490,1674,1.73107250305923,5.747882182088991,1.2005550302565098,6.9484372123455005
1488,2348,1.6260018034776598,5.594342159417768,1.0414749700576067,6.635817129475375
618,2352,1.7394810009906587,6.135388522408903,0.7847321024164557,6.920120624825358
1346,2188,1.887001482415413,5.164142526996632,0.7569764675572515,5.921118994553884
320,320,7.373803846713884,5.4954026419048505,0.3774283668026328,5.872831008707483
320,320,6.359172363873757,6.018569501737754,0.5235567847266793,6.542126286464433
320,320,6.412068811302616,5.929157041013241,0.789046274498105,6.718203315511346
320,320,7.7909078081213154,5.457259945881863,0.7554433504119515,6.212703296293815
320,480,7.798103667450742,5.456891748743753,0.6287385718896985,6.085630320633451
320,480,7.830180442562635,5.721429215123256,0.46361795254051685,6.185047167663773
320,480,6.180612666133609,5.037146665466328,0.6321020415052772,5.669248706971605
320,480,7.346110985784032,5.215947271945576,0.6094348058104515,5.825382077756028
320,480,7.3913746306287305,5.408416233025491,0.6103439489379525,6.018760181963444
320,480,6.403289623204536,6.413077979969482,0.6864832425490022,7.099561222518484
320,480,7.606927289215191,5.581349366034071,0.6080220714211464,6.189371437455217
320,480,5.38153030596429,5.9587996155023575,0.5980170322582126,6.55681664776057
320,480,7.820716373901071,6.615966394543648,0.572183127515018,7.188149522058666
320,480,7.762188744459432,6.357987935033937,0.4828096814453602,6.840797616479297
320,512,6.577948985505243,5.583716531594594,0.2824862329289317,5.866202764523526
320,512,7.801637866900049,5.683081358671188,0.6441545886918902,6.327235947363079
320,512,7.424514265361065,6.223767157333593,0.5816274685785174,6.80539462591211
320,512,7.7579602544505875,5.5403437068065005,0.7131136106327176,6.253457317439218
320,512,7.497823240952479,5.651379500205318,0.5377895645797253,6.189169064785044
320,512,7.574870597553504,5.469862095701198,0.3001448009163141,5.770006896617512
320,512,7.198022370258128,6.624887101973097,0.6466454043984413,7.271532506371538
320,512,7.0371909622723745,5.934998705983162,0.5914772469550371,6.526475952938199
320,512,6.926346590295213,6.4595485509683686,0.7044476289302111,7.16399617989858
320,512,7.186392377566579,6.26053099706769,0.3710860051214695,6.631617002189159
320,576,7.567508270844236,6.409785399523874,0.5528604881837964,6.96264588770767
320,576,7.836171768804437,5.84970835254838,0.5730712376534939,6.422779590201874
320,576,7.793291793917352,5.934835086887081,0.7040356202051044,6.6388707070921855
320,576,7.864922619451507,5.889649727071325,0.5176642211154103,6.407313948186736
320,576,7.564505247420129,5.522604066257675,0.3393445713445544,5.86194863760223
320,576,7.760117758549381,6.041051948132615,0.4768190151080489,6.5178709632406635
320,576,7.325534645587385,5.510770888688664,0.6984625160694122,6.209233404758076
320,576,7.259417261412551,6.1131890232985215,0.736305951140821,6.8494949744393425
320,576,6.97184184687109,5.917006473367413,0.6762395100668073,6.59324598343422
320,576,7.442056045709898,6.311125079169869,0.6447536628693342,6.955878742039204
320,640,7.758483664274496,5.394238278580208,0.4425576636567712,5.8367959422369795
320,640,7.809276936430821,7.23376505697767,1.0863553807139397,8.32012043769161
320,640,7.7855498329240564,6.173558895165722,0.5434474274516106,6.717006322617332
320,640,7.746453341720391,5.85485467625161,0.6017015585675836,6.456556234819193
320,640,7.829590839594957,5.018782281937699,0.6339501505717635,5.652732432509462
320,640,6.792861093777788,5.902806971843044,0.7277605449780822,6.630567516821126
320,640,7.645948357110351,5.93089930806309,0.6498029064387083,6.580702214501798
320,640,7.792822272151905,5.867161122150719,0.8399005895480514,6.7070617116987705
320,640,7.370604384462016,5.87184885982424,0.6052626287564635,6.477111488580704
320,640,5.681135406998926,5.639114171887438,0.45157854072749615,6.090692712614934
320,768,7.502339462502187,6.7614100833113,0.7033991422504187,7.464809225561718
